Geography,Geographic Area Name,Estimate!!Median value (dollars),Margin of Error!!Median value (dollars)
0500000US34001,"Atlantic County, New Jersey",289200,10538
0500000US34003,"Bergen County, New Jersey",578600,8744
0500000US34005,"Burlington County, New Jersey",329300,7880
0500000US34007,"Camden County, New Jersey",271300,6719
0500000US34009,"Cape May County, New Jersey",449000,24229
0500000US34011,"Cumberland County, New Jersey",202300,11916
0500000US34013,"Essex County, New Jersey",494100,14394
0500000US34015,"Gloucester County, New Jersey",290300,7707
0500000US34017,"Hudson County, New Jersey",526200,21387
0500000US34019,"Hunterdon County, New Jersey",480200,16323
0500000US34021,"Mercer County, New Jersey",345800,16097
0500000US34023,"Middlesex County, New Jersey",440000,7270
0500000US34025,"Monmouth County, New Jersey",576800,11490
0500000US34027,"Morris County, New Jersey",546600,14608
0500000US34029,"Ocean County, New Jersey",379400,7708
0500000US34031,"Passaic County, New Jersey",434600,10721
0500000US34033,"Salem County, New Jersey",232700,13618
0500000US34035,"Somerset County, New Jersey",497200,14498
0500000US34037,"Sussex County, New Jersey",352100,8907
0500000US34039,"Union County, New Jersey",499700,16422
0500000US34041,"Warren County, New Jersey",350000,14189
0500000US35001,"Bernalillo County, New Mexico",287300,7244
0500000US35013,"Doña Ana County, New Mexico",211700,11437
0500000US35025,"Lea County, New Mexico",175600,23484
0500000US35031,"McKinley County, New Mexico",82300,10907
0500000US35035,"Otero County, New Mexico",161900,12151
0500000US35043,"Sandoval County, New Mexico",315500,16934
0500000US35045,"San Juan County, New Mexico",185000,14892
0500000US35049,"Santa Fe County, New Mexico",450700,14831
0500000US35061,"Valencia County, New Mexico",207400,21347
0500000US36001,"Albany County, New York",273400,7006
0500000US36005,"Bronx County, New York",489800,30492
0500000US36007,"Broome County, New York",146100,7081
0500000US36009,"Cattaraugus County, New York",108500,6608
0500000US36011,"Cayuga County, New York",165500,10060
0500000US36013,"Chautauqua County, New York",122500,6761
0500000US36015,"Chemung County, New York",130700,15720
0500000US36019,"Clinton County, New York",184800,13686
0500000US36027,"Dutchess County, New York",374800,7837
0500000US36029,"Erie County, New York",225600,4866
0500000US36045,"Jefferson County, New York",177700,12699
0500000US36047,"Kings County, New York",849900,14260
0500000US36053,"Madison County, New York",163900,7562
0500000US36055,"Monroe County, New York",200100,4521
0500000US36059,"Nassau County, New York",654600,5425
0500000US36061,"New York County, New York",1006100,68148
0500000US36063,"Niagara County, New York",193800,10348
0500000US36065,"Oneida County, New York",167900,5552
0500000US36067,"Onondaga County, New York",182300,5720
0500000US36069,"Ontario County, New York",211000,12624
0500000US36071,"Orange County, New York",371600,8481
0500000US36075,"Oswego County, New York",139800,9430
0500000US36079,"Putnam County, New York",436500,16203
0500000US36081,"Queens County, New York",683600,9900
0500000US36083,"Rensselaer County, New York",248200,10919
0500000US36085,"Richmond County, New York",632900,12648
0500000US36087,"Rockland County, New York",552500,16504
0500000US36089,"St. Lawrence County, New York",122000,8807
0500000US36091,"Saratoga County, New York",340900,11170
0500000US36093,"Schenectady County, New York",223600,7760
0500000US36101,"Steuben County, New York",124100,8863
0500000US36103,"Suffolk County, New York",545700,7811
0500000US36105,"Sullivan County, New York",274800,31290
0500000US36109,"Tompkins County, New York",283000,14852
0500000US36111,"Ulster County, New York",337100,12747
0500000US36113,"Warren County, New York",258300,17196
0500000US36117,"Wayne County, New York",164700,8505
0500000US36119,"Westchester County, New York",634800,11365
0500000US37001,"Alamance County, North Carolina",231800,11958
0500000US37019,"Brunswick County, North Carolina",339400,14369
0500000US37021,"Buncombe County, North Carolina",373200,12009
0500000US37023,"Burke County, North Carolina",197300,22739
0500000US37025,"Cabarrus County, North Carolina",354600,13907
0500000US37027,"Caldwell County, North Carolina",189700,21014
0500000US37031,"Carteret County, North Carolina",308800,24076
0500000US37035,"Catawba County, North Carolina",235100,12940
0500000US37037,"Chatham County, North Carolina",396700,53871
0500000US37045,"Cleveland County, North Carolina",191300,16198
0500000US37049,"Craven County, North Carolina",211500,15699
0500000US37051,"Cumberland County, North Carolina",190100,7341
0500000US37057,"Davidson County, North Carolina",219400,12049
0500000US37063,"Durham County, North Carolina",377600,14232
0500000US37067,"Forsyth County, North Carolina",251200,8544
0500000US37069,"Franklin County, North Carolina",267900,23493
0500000US37071,"Gaston County, North Carolina",261000,9706
0500000US37081,"Guilford County, North Carolina",246500,8988
0500000US37085,"Harnett County, North Carolina",243600,14486
0500000US37089,"Henderson County, North Carolina",333000,18531
0500000US37097,"Iredell County, North Carolina",331800,14906
0500000US37101,"Johnston County, North Carolina",289600,11674
0500000US37105,"Lee County, North Carolina",255800,16790
0500000US37109,"Lincoln County, North Carolina",276100,21881
0500000US37119,"Mecklenburg County, North Carolina",402800,9200
0500000US37125,"Moore County, North Carolina",338800,22806
0500000US37127,"Nash County, North Carolina",186800,17315
0500000US37129,"New Hanover County, North Carolina",368600,15050
0500000US37133,"Onslow County, North Carolina",228200,9324
0500000US37135,"Orange County, North Carolina",444900,21066
0500000US37141,"Pender County, North Carolina",316900,26098
0500000US37147,"Pitt County, North Carolina",221700,9663
0500000US37151,"Randolph County, North Carolina",173300,7188
0500000US37155,"Robeson County, North Carolina",83500,5360
0500000US37157,"Rockingham County, North Carolina",152600,12423
0500000US37159,"Rowan County, North Carolina",214100,13909
0500000US37171,"Surry County, North Carolina",170200,13796
0500000US37179,"Union County, North Carolina",409300,19867
0500000US37183,"Wake County, North Carolina",470300,7560
0500000US37191,"Wayne County, North Carolina",166400,12007
0500000US37193,"Wilkes County, North Carolina",151300,21667
0500000US37195,"Wilson County, North Carolina",187600,16095
0500000US38015,"Burleigh County, North Dakota",326300,16483
0500000US38017,"Cass County, North Dakota",278400,11756
0500000US38035,"Grand Forks County, North Dakota",243300,14996
0500000US38101,"Ward County, North Dakota",241500,17149
0500000US39003,"Allen County, Ohio",158700,5624
0500000US39007,"Ashtabula County, Ohio",147100,12920
0500000US39013,"Belmont County, Ohio",133800,15198
0500000US39017,"Butler County, Ohio",267600,9276
0500000US39023,"Clark County, Ohio",162700,10088
0500000US39025,"Clermont County, Ohio",250200,9863
0500000US39029,"Columbiana County, Ohio",138400,12641
0500000US39035,"Cuyahoga County, Ohio",186400,4053
0500000US39041,"Delaware County, Ohio",438300,12666
0500000US39043,"Erie County, Ohio",169600,9174
0500000US39045,"Fairfield County, Ohio",279400,14904
0500000US39049,"Franklin County, Ohio",279600,5335
0500000US39055,"Geauga County, Ohio",326700,15721
0500000US39057,"Greene County, Ohio",249400,11003
0500000US39061,"Hamilton County, Ohio",235400,5536
0500000US39063,"Hancock County, Ohio",199000,17130
0500000US39085,"Lake County, Ohio",208700,9010
0500000US39089,"Licking County, Ohio",265900,11947
0500000US39093,"Lorain County, Ohio",207500,8440
0500000US39095,"Lucas County, Ohio",151700,4698
0500000US39099,"Mahoning County, Ohio",144200,7683
0500000US39101,"Marion County, Ohio",142800,21544
0500000US39103,"Medina County, Ohio",271900,8538
0500000US39109,"Miami County, Ohio",201000,19684
0500000US39113,"Montgomery County, Ohio",177500,6238
0500000US39119,"Muskingum County, Ohio",174000,14702
0500000US39133,"Portage County, Ohio",212900,11036
0500000US39139,"Richland County, Ohio",151000,12799
0500000US39141,"Ross County, Ohio",171600,11434
0500000US39145,"Scioto County, Ohio",128300,11401
0500000US39151,"Stark County, Ohio",170700,4803
0500000US39153,"Summit County, Ohio",195600,6372
0500000US39155,"Trumbull County, Ohio",128700,9320
0500000US39157,"Tuscarawas County, Ohio",175400,11369
0500000US39159,"Union County, Ohio",338300,18368
0500000US39165,"Warren County, Ohio",320300,12294
0500000US39169,"Wayne County, Ohio",206700,8348
0500000US39173,"Wood County, Ohio",211500,13480
0500000US40017,"Canadian County, Oklahoma",234500,6864
0500000US40027,"Cleveland County, Oklahoma",230900,6506
0500000US40031,"Comanche County, Oklahoma",145100,9731
0500000US40037,"Creek County, Oklahoma",168800,7743
0500000US40101,"Muskogee County, Oklahoma",148900,14889
0500000US40109,"Oklahoma County, Oklahoma",219200,6029
0500000US40119,"Payne County, Oklahoma",221600,23522
0500000US40125,"Pottawatomie County, Oklahoma",160500,12054
0500000US40131,"Rogers County, Oklahoma",237800,6813
0500000US40143,"Tulsa County, Oklahoma",221100,4111
0500000US40145,"Wagoner County, Oklahoma",229700,8003
0500000US41003,"Benton County, Oregon",520700,27912
0500000US41005,"Clackamas County, Oregon",613600,13900
0500000US41017,"Deschutes County, Oregon",664000,18705
0500000US41019,"Douglas County, Oregon",345900,17779
0500000US41029,"Jackson County, Oregon",425700,15497
0500000US41033,"Josephine County, Oregon",406300,23959
0500000US41035,"Klamath County, Oregon",266000,21646
0500000US41039,"Lane County, Oregon",433700,8771
0500000US41043,"Linn County, Oregon",385000,17097
0500000US41047,"Marion County, Oregon",395200,10546
0500000US41051,"Multnomah County, Oregon",533200,9427
0500000US41053,"Polk County, Oregon",453100,15983
0500000US41059,"Umatilla County, Oregon",293900,22686
0500000US41067,"Washington County, Oregon",588200,7903
0500000US41071,"Yamhill County, Oregon",482500,21237
0500000US42001,"Adams County, Pennsylvania",255900,11542
0500000US42003,"Allegheny County, Pennsylvania",221700,4280
0500000US42005,"Armstrong County, Pennsylvania",137700,13376
0500000US42007,"Beaver County, Pennsylvania",178600,9391
0500000US42011,"Berks County, Pennsylvania",248200,6982
0500000US42013,"Blair County, Pennsylvania",159000,4045
0500000US42017,"Bucks County, Pennsylvania",427500,8843
0500000US42019,"Butler County, Pennsylvania",286000,15627
0500000US42021,"Cambria County, Pennsylvania",114400,6934
0500000US42025,"Carbon County, Pennsylvania",202700,14980
0500000US42027,"Centre County, Pennsylvania",309100,16767
0500000US42029,"Chester County, Pennsylvania",454500,8103
0500000US42033,"Clearfield County, Pennsylvania",124200,10660
0500000US42039,"Crawford County, Pennsylvania",146100,9917
0500000US42041,"Cumberland County, Pennsylvania",259800,9276
0500000US42043,"Dauphin County, Pennsylvania",217400,8895
0500000US42045,"Delaware County, Pennsylvania",316200,10494
0500000US42049,"Erie County, Pennsylvania",165600,7262
0500000US42051,"Fayette County, Pennsylvania",130800,9272
0500000US42055,"Franklin County, Pennsylvania",235800,9145
0500000US42063,"Indiana County, Pennsylvania",150100,10134
0500000US42069,"Lackawanna County, Pennsylvania",183200,9713
0500000US42071,"Lancaster County, Pennsylvania",287200,5834
0500000US42073,"Lawrence County, Pennsylvania",128800,15681
0500000US42075,"Lebanon County, Pennsylvania",228800,13966
0500000US42077,"Lehigh County, Pennsylvania",287300,8749
0500000US42079,"Luzerne County, Pennsylvania",169600,5543
0500000US42081,"Lycoming County, Pennsylvania",194700,11395
0500000US42085,"Mercer County, Pennsylvania",156000,6901
0500000US42089,"Monroe County, Pennsylvania",260300,11847
0500000US42091,"Montgomery County, Pennsylvania",413100,10085
0500000US42095,"Northampton County, Pennsylvania",292300,6738
0500000US42097,"Northumberland County, Pennsylvania",161500,14585
0500000US42101,"Philadelphia County, Pennsylvania",237900,6421
0500000US42107,"Schuylkill County, Pennsylvania",141700,9896
0500000US42111,"Somerset County, Pennsylvania",136300,14711
0500000US42125,"Washington County, Pennsylvania",224300,9351
0500000US42129,"Westmoreland County, Pennsylvania",193000,5659
0500000US42133,"York County, Pennsylvania",239000,5940
0500000US44003,"Kent County, Rhode Island",338800,11372
0500000US44005,"Newport County, Rhode Island",617500,25995
0500000US44007,"Providence County, Rhode Island",360600,5599
0500000US44009,"Washington County, Rhode Island",493600,18377
0500000US45003,"Aiken County, South Carolina",212400,14690
0500000US45007,"Anderson County, South Carolina",231600,10513
0500000US45013,"Beaufort County, South Carolina",463200,18185
0500000US45015,"Berkeley County, South Carolina",303900,11978
0500000US45019,"Charleston County, South Carolina",490600,15988
0500000US45035,"Dorchester County, South Carolina",319100,10271
0500000US45041,"Florence County, South Carolina",173300,13397
0500000US45045,"Greenville County, South Carolina",288900,7407
0500000US45047,"Greenwood County, South Carolina",161400,17565
0500000US45051,"Horry County, South Carolina",285200,7166
0500000US45055,"Kershaw County, South Carolina",201100,22036
0500000US45057,"Lancaster County, South Carolina",324500,22013
0500000US45059,"Laurens County, South Carolina",163900,13995
0500000US45063,"Lexington County, South Carolina",222900,6422
0500000US45073,"Oconee County, South Carolina",210200,23702
0500000US45075,"Orangeburg County, South Carolina",130000,20207
0500000US45077,"Pickens County, South Carolina",229100,13588
0500000US45079,"Richland County, South Carolina",226400,11160
0500000US45083,"Spartanburg County, South Carolina",231300,9445
0500000US45085,"Sumter County, South Carolina",162100,9488
0500000US45091,"York County, South Carolina",366600,11020
0500000US46083,"Lincoln County, South Dakota",343000,20091
0500000US46099,"Minnehaha County, South Dakota",268200,10486
0500000US46103,"Pennington County, South Dakota",298200,18126
0500000US47001,"Anderson County, Tennessee",248600,19663
0500000US47009,"Blount County, Tennessee",304800,16495
0500000US47011,"Bradley County, Tennessee",244900,15194
0500000US47037,"Davidson County, Tennessee",434700,12002
0500000US47059,"Greene County, Tennessee",190500,17106
0500000US47063,"Hamblen County, Tennessee",203300,20275
0500000US47065,"Hamilton County, Tennessee",302800,13228
0500000US47093,"Knox County, Tennessee",305400,9049
0500000US47113,"Madison County, Tennessee",197400,21028
0500000US47119,"Maury County, Tennessee",352000,19316
0500000US47125,"Montgomery County, Tennessee",279400,10660
0500000US47141,"Putnam County, Tennessee",292500,14964
0500000US47147,"Robertson County, Tennessee",327000,20414
0500000US47149,"Rutherford County, Tennessee",387100,11159
0500000US47155,"Sevier County, Tennessee",315300,17198
0500000US47157,"Shelby County, Tennessee",250900,8157
0500000US47163,"Sullivan County, Tennessee",209200,14937
0500000US47165,"Sumner County, Tennessee",395300,14017
0500000US47179,"Washington County, Tennessee",258900,15782
0500000US47187,"Williamson County, Tennessee",740800,23217
0500000US47189,"Wilson County, Tennessee",436800,23711
0500000US48005,"Angelina County, Texas",173600,18257
0500000US48021,"Bastrop County, Texas",310600,22916
0500000US48027,"Bell County, Texas",233900,7933
0500000US48029,"Bexar County, Texas",259200,5622
0500000US48037,"Bowie County, Texas",173500,12479
0500000US48039,"Brazoria County, Texas",281300,9733
0500000US48041,"Brazos County, Texas",263700,13754
0500000US48061,"Cameron County, Texas",133400,8274
0500000US48085,"Collin County, Texas",476100,8217
0500000US48091,"Comal County, Texas",405100,25142
0500000US48099,"Coryell County, Texas",179800,26733
0500000US48113,"Dallas County, Texas",297100,4189
0500000US48121,"Denton County, Texas",428400,8503
0500000US48135,"Ector County, Texas",184000,14507
0500000US48139,"Ellis County, Texas",315100,16862
0500000US48141,"El Paso County, Texas",170700,4707
0500000US48157,"Fort Bend County, Texas",351600,7542
0500000US48167,"Galveston County, Texas",294400,12429
0500000US48181,"Grayson County, Texas",250500,16930
0500000US48183,"Gregg County, Texas",187700,15851
0500000US48187,"Guadalupe County, Texas",295500,9085
0500000US48201,"Harris County, Texas",264000,3430
0500000US48203,"Harrison County, Texas",154500,20409
0500000US48209,"Hays County, Texas",400000,19182
0500000US48213,"Henderson County, Texas",204500,21269
0500000US48215,"Hidalgo County, Texas",123700,4599
0500000US48221,"Hood County, Texas",291000,26276
0500000US48231,"Hunt County, Texas",258000,17572
0500000US48245,"Jefferson County, Texas",160800,8852
0500000US48251,"Johnson County, Texas",284500,11116
0500000US48257,"Kaufman County, Texas",316500,14567
0500000US48291,"Liberty County, Texas",154900,57159
0500000US48303,"Lubbock County, Texas",209200,9745
0500000US48309,"McLennan County, Texas",233400,11459
0500000US48329,"Midland County, Texas",285700,12824
0500000US48339,"Montgomery County, Texas",342600,9093
0500000US48355,"Nueces County, Texas",201600,9035
0500000US48361,"Orange County, Texas",190200,20078
0500000US48367,"Parker County, Texas",365500,18019
0500000US48375,"Potter County, Texas",140300,17497
0500000US48381,"Randall County, Texas",240500,12478
0500000US48397,"Rockwall County, Texas",422500,22135
0500000US48409,"San Patricio County, Texas",178300,25618
0500000US48423,"Smith County, Texas",224600,11247
0500000US48427,"Starr County, Texas",98400,26700
0500000US48439,"Tarrant County, Texas",311900,4741
0500000US48441,"Taylor County, Texas",189000,10357
0500000US48451,"Tom Green County, Texas",193800,17522
0500000US48453,"Travis County, Texas",574000,12577
0500000US48469,"Victoria County, Texas",205800,18379
0500000US48471,"Walker County, Texas",199300,31368
0500000US48479,"Webb County, Texas",171200,7412
0500000US48485,"Wichita County, Texas",145600,7474
0500000US48491,"Williamson County, Texas",472000,8245
0500000US48497,"Wise County, Texas",299900,25023
0500000US49005,"Cache County, Utah",464700,14119
0500000US49011,"Davis County, Utah",529900,17875
0500000US49035,"Salt Lake County, Utah",535800,12373
0500000US49045,"Tooele County, Utah",454700,15897
0500000US49049,"Utah County, Utah",548100,13384
0500000US49053,"Washington County, Utah",528400,26088
0500000US49057,"Weber County, Utah",436600,9977
0500000US50007,"Chittenden County, Vermont",422800,20518
0500000US51003,"Albemarle County, Virginia",486900,24038
0500000US51013,"Arlington County, Virginia",828500,30857
0500000US51015,"Augusta County, Virginia",292000,20698
0500000US51019,"Bedford County, Virginia",291500,30891
0500000US51041,"Chesterfield County, Virginia",344200,7377
0500000US51059,"Fairfax County, Virginia",695100,8128
0500000US51061,"Fauquier County, Virginia",550700,35787
0500000US51069,"Frederick County, Virginia",366600,13701
0500000US51085,"Hanover County, Virginia",372600,12689
0500000US51087,"Henrico County, Virginia",344600,8843
0500000US51095,"James City County, Virginia",403100,21125
0500000US51107,"Loudoun County, Virginia",714500,15591
0500000US51121,"Montgomery County, Virginia",315800,22761
0500000US51153,"Prince William County, Virginia",512500,15132
0500000US51161,"Roanoke County, Virginia",268600,15801
0500000US51165,"Rockingham County, Virginia",319000,20203
0500000US51177,"Spotsylvania County, Virginia",391900,14579
0500000US51179,"Stafford County, Virginia",478200,14643
0500000US51199,"York County, Virginia",412100,21592
0500000US51510,"Alexandria city, Virginia",748300,43008
0500000US51550,"Chesapeake city, Virginia",365700,11353
0500000US51650,"Hampton city, Virginia",250000,12455
0500000US51680,"Lynchburg city, Virginia",215200,15020
0500000US51700,"Newport News city, Virginia",240900,8901
0500000US51710,"Norfolk city, Virginia",269500,8547
0500000US51740,"Portsmouth city, Virginia",231700,10819
0500000US51760,"Richmond city, Virginia",346800,12857
0500000US51770,"Roanoke city, Virginia",183400,15208
0500000US51800,"Suffolk city, Virginia",328200,18032
0500000US51810,"Virginia Beach city, Virginia",370300,7386
0500000US53005,"Benton County, Washington",394200,11340
0500000US53007,"Chelan County, Washington",492700,34824
0500000US53009,"Clallam County, Washington",431400,20766
0500000US53011,"Clark County, Washington",532400,15664
0500000US53015,"Cowlitz County, Washington",413500,15816
0500000US53021,"Franklin County, Washington",381300,18114
0500000US53025,"Grant County, Washington",284400,19561
0500000US53027,"Grays Harbor County, Washington",300600,29871
0500000US53029,"Island County, Washington",598700,30071
0500000US53033,"King County, Washington",862200,11310
0500000US53035,"Kitsap County, Washington",538400,20135
0500000US53041,"Lewis County, Washington",379200,24795
0500000US53045,"Mason County, Washington",429300,28263
0500000US53053,"Pierce County, Washington",538500,10510
0500000US53057,"Skagit County, Washington",520900,23153
0500000US53061,"Snohomish County, Washington",713200,11838
0500000US53063,"Spokane County, Washington",415500,9384
0500000US53067,"Thurston County, Washington",488100,10928
0500000US53073,"Whatcom County, Washington",601200,16986
0500000US53077,"Yakima County, Washington",300000,14287
0500000US54003,"Berkeley County, West Virginia",266100,11334
0500000US54011,"Cabell County, West Virginia",157200,9892
0500000US54033,"Harrison County, West Virginia",171200,13314
0500000US54039,"Kanawha County, West Virginia",135500,9008
0500000US54061,"Monongalia County, West Virginia",245700,16003
0500000US54081,"Raleigh County, West Virginia",154900,15020
0500000US54107,"Wood County, West Virginia",142000,10269
0500000US55009,"Brown County, Wisconsin",251900,9975
0500000US55017,"Chippewa County, Wisconsin",234100,17457
0500000US55025,"Dane County, Wisconsin",373500,6532
0500000US55027,"Dodge County, Wisconsin",230100,12525
0500000US55035,"Eau Claire County, Wisconsin",245700,12240
0500000US55039,"Fond du Lac County, Wisconsin",220800,13864
0500000US55055,"Jefferson County, Wisconsin",276800,14775
0500000US55059,"Kenosha County, Wisconsin",253200,12240
0500000US55063,"La Crosse County, Wisconsin",231300,10399
0500000US55071,"Manitowoc County, Wisconsin",165900,7618
0500000US55073,"Marathon County, Wisconsin",201000,10331
0500000US55079,"Milwaukee County, Wisconsin",216900,3969
0500000US55087,"Outagamie County, Wisconsin",250400,9711
0500000US55089,"Ozaukee County, Wisconsin",370200,13964
0500000US55097,"Portage County, Wisconsin",230600,9058
0500000US55101,"Racine County, Wisconsin",238200,11140
0500000US55105,"Rock County, Wisconsin",209900,9571
0500000US55109,"St. Croix County, Wisconsin",358100,19793
0500000US55111,"Sauk County, Wisconsin",259200,11827
0500000US55117,"Sheboygan County, Wisconsin",213900,16034
0500000US55127,"Walworth County, Wisconsin",290800,12432
0500000US55131,"Washington County, Wisconsin",314900,13683
0500000US55133,"Waukesha County, Wisconsin",379700,6389
0500000US55139,"Winnebago County, Wisconsin",207200,8482
0500000US55141,"Wood County, Wisconsin",177100,10688
0500000US56021,"Laramie County, Wyoming",338100,14205
0500000US56025,"Natrona County, Wyoming",259500,17456
0500000US72013,"Arecibo Municipio, Puerto Rico",105400,8415
0500000US72021,"Bayamón Municipio, Puerto Rico",137600,3768
0500000US72025,"Caguas Municipio, Puerto Rico",134500,8024
0500000US72031,"Carolina Municipio, Puerto Rico",146700,6418
0500000US72061,"Guaynabo Municipio, Puerto Rico",220400,18403
0500000US72097,"Mayagüez Municipio, Puerto Rico",100200,7751
0500000US72113,"Ponce Municipio, Puerto Rico",95000,4176
0500000US72127,"San Juan Municipio, Puerto Rico",164900,4359
0500000US72135,"Toa Alta Municipio, Puerto Rico",174400,12404
0500000US72137,"Toa Baja Municipio, Puerto Rico",138800,6622
0500000US72139,"Trujillo Alto Municipio, Puerto Rico",164400,9346
